"FeatureId","Domain","FeatureName","Required","DonorVersionEvidence","DonorSources","PlayerVisibleBehavior","Dependencies","CurrentImplementation","Status","LegacyPresentation","SaveCoverage","UITelemetry","AudioCoverage","TestCoverage","KnownDifferences","OwnerMilestone","HumanDecision","Notes"
"P1.JOB.018","Jobs","Drag-race participation — prerequisites, states and rewards","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen JOBS/Farm/Mummola/TeimoADs/RALLY/DRAGRACE hierarchy; JOB_AND_ACTIVITY_ROSTER.csv","Drag-race participation — prerequisites, states and rewards","NPC; Items/Vehicles; Economy; World; Save","Nothing; no Jobs module","EvidenceCaptured","World locations may exist; actors/items/task feedback not bound","None","No permanent quest tracker; contextual feedback missing","None","None","Exact call timing, prerequisites, reward and repeat rules require capture","12B","Pending","Roster category CompetitionActivity"
"P1.JOB.019","Jobs","Football/soccer local activity — prerequisites, states and rewards","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen JOBS/Farm/Mummola/TeimoADs/RALLY/DRAGRACE hierarchy; JOB_AND_ACTIVITY_ROSTER.csv","Football/soccer local activity — prerequisites, states and rewards","NPC; Items/Vehicles; Economy; World; Save","Nothing; no Jobs module","EvidenceCaptured","World locations may exist; actors/items/task feedback not bound","None","No permanent quest tracker; contextual feedback missing","None","None","Exact call timing, prerequisites, reward and repeat rules require capture","12B","Pending","Roster category LocalActivity"
"P1.JOB.020","Jobs","Berry-field repeatable work loop — prerequisites, states and rewards","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen JOBS/Farm/Mummola/TeimoADs/RALLY/DRAGRACE hierarchy; JOB_AND_ACTIVITY_ROSTER.csv","Berry-field repeatable work loop — prerequisites, states and rewards","NPC; Items/Vehicles; Economy; World; Save","Nothing; no Jobs module","EvidenceCaptured","World locations may exist; actors/items/task feedback not bound","None","No permanent quest tracker; contextual feedback missing","None","None","Exact call timing, prerequisites, reward and repeat rules require capture","12B","Pending","Roster category FieldJob"
"P1.JOB.021","Jobs","Rally participation flow — prerequisites, states and rewards","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen JOBS/Farm/Mummola/TeimoADs/RALLY/DRAGRACE hierarchy; JOB_AND_ACTIVITY_ROSTER.csv","Rally participation flow — prerequisites, states and rewards","NPC; Items/Vehicles; Economy; World; Save","Nothing; no Jobs module","EvidenceCaptured","World locations may exist; actors/items/task feedback not bound","None","No permanent quest tracker; contextual feedback missing","None","None","Exact call timing, prerequisites, reward and repeat rules require capture","13B","Pending","Roster category CompetitionActivity"
"P1.JOB.022","Jobs","Vehicle inspection attempt/retry — prerequisites, states and rewards","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen JOBS/Farm/Mummola/TeimoADs/RALLY/DRAGRACE hierarchy; JOB_AND_ACTIVITY_ROSTER.csv","Vehicle inspection attempt/retry — prerequisites, states and rewards","NPC; Items/Vehicles; Economy; World; Save","Nothing; no Jobs module","EvidenceCaptured","World locations may exist; actors/items/task feedback not bound","None","No permanent quest tracker; contextual feedback missing","None","None","Exact call timing, prerequisites, reward and repeat rules require capture","13B","Pending","Roster category AuthorityActivity"
"P1.EVENT.001","Story","Uncle van access and key progression — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Uncle van access and key progression — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category FamilyProgression"
"P1.EVENT.002","Story","Uncle/Gifu availability and consequences — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Uncle/Gifu availability and consequences — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category FamilyProgression"
"P1.EVENT.003","Story","Jokke phone-call and ride chain — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Jokke phone-call and ride chain — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category RelationshipChain"
"P1.EVENT.004","Story","Jokke move-house chain — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Jokke move-house chain — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category RelationshipChain"
"P1.EVENT.005","Story","Jokke suitcase/money branch — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Jokke suitcase/money branch — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category RelationshipBranch"
"P1.EVENT.006","Story","Jokke suicide/outcome branch — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Jokke suicide/outcome branch — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category RelationshipOutcome"
"P1.EVENT.007","Story","Suski roadside rescue — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Suski roadside rescue — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category RelationshipChain"
"P1.EVENT.008","Story","Suski date/relationship progression — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Suski date/relationship progression — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category RelationshipChain"
"P1.EVENT.009","Story","Suski late outcome/ending branch — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Suski late outcome/ending branch — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category RelationshipOutcome"
"P1.EVENT.010","Story","Jani/Petteri road encounter and crash consequences — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Jani/Petteri road encounter and crash consequences — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category TrafficStory"
"P1.EVENT.011","Story","Fleetari vandalism request and consequence — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Fleetari vandalism request and consequence — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category ServiceStory"
"P1.EVENT.012","Story","Grandmother visit/food dialogue progression — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Grandmother visit/food dialogue progression — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category FamilyRelationship"
"P1.EVENT.013","Story","Vehicle readiness and inspection progression — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Vehicle readiness and inspection progression — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category VehicleProgression"
"P1.EVENT.014","Story","Police warrant/arrest escalation — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Police warrant/arrest escalation — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category AuthorityProgression"
"P1.EVENT.015","Story","Rally eligibility/result progression — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Rally eligibility/result progression — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category CompetitionProgression"
"P1.EVENT.016","Story","House/drunk moving event chain — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","House/drunk moving event chain — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category JobStory"
"P1.EVENT.017","Story","Suicidal hiker encounter — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Suicidal hiker encounter — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category ConditionalEncounter"
"P1.EVENT.018","Story","Murderer/hitchhiker encounter — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Murderer/hitchhiker encounter — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category ConditionalEncounter"
"P1.EVENT.019","Story","Open-world calendar/weekday conditional events — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Open-world calendar/weekday conditional events — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category CalendarEvents"
"P1.EVENT.020","Story","Late-game continuation after story outcomes — conditions and outcomes","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen HUMANS/JOBS/Systems/NPC_CARS FSM metadata; STORY_EVENT_ROSTER.csv","Late-game continuation after story outcomes — conditions and outcomes","NPC; Jobs; GameTime; Save; UI/Audio","Nothing; no Progression/Events module","EvidenceCaptured","Frozen actors/props external; no runtime graph/presenters","None","Contextual messages/dialogue absent","Voice/event audio not bound","None","Exact state graph, conditions and outcomes require behavioral evidence","13A","Pending","Roster category OpenLoop"
"P1.AUTHORITY.001","Authority","Inspection test inputs, pass/fail and certificate state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen INSPECTION/COPS/JAIL/Systems FSM metadata","Inspection test inputs, pass/fail and certificate state","Vehicle; Economy; Story graph; Save","Nothing","EvidenceCaptured","World/static evidence only; actors/UI/audio missing","None","None","None","None","Exact thresholds, durations and consequences require donor comparison","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.AUTHORITY.002","Authority","Vehicle roadworthiness enforcement","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen INSPECTION/COPS/JAIL/Systems FSM metadata","Vehicle roadworthiness enforcement","Vehicle; Economy; Story graph; Save","Nothing","EvidenceCaptured","World/static evidence only; actors/UI/audio missing","None","None","None","None","Exact thresholds, durations and consequences require donor comparison","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.AUTHORITY.003","Authority","Police checkpoints and stop behavior","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen INSPECTION/COPS/JAIL/Systems FSM metadata","Police checkpoints and stop behavior","Vehicle; Economy; Story graph; Save","Nothing","EvidenceCaptured","World/static evidence only; actors/UI/audio missing","None","None","None","None","Exact thresholds, durations and consequences require donor comparison","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.AUTHORITY.004","Authority","Fines, tickets, payment and escalation","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen INSPECTION/COPS/JAIL/Systems FSM metadata","Fines, tickets, payment and escalation","Vehicle; Economy; Story graph; Save","Nothing","EvidenceCaptured","World/static evidence only; actors/UI/audio missing","None","None","None","None","Exact thresholds, durations and consequences require donor comparison","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.AUTHORITY.005","Authority","Arrest, jail duration and release","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen INSPECTION/COPS/JAIL/Systems FSM metadata","Arrest, jail duration and release","Vehicle; Economy; Story graph; Save","Nothing","EvidenceCaptured","World/static evidence only; actors/UI/audio missing","None","None","None","None","Exact thresholds, durations and consequences require donor comparison","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.AUTHORITY.006","Authority","Hospital/recovery state and costs candidate","No","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","No direct frozen04A1 hospital mechanic evidence found","Not implemented unless behavioral/save evidence confirms it","Vehicle; Economy; Story graph; Save","Nothing","Unknown","None","None","None","None","None","Prompt category is not proof of donor feature","13B","Pending evidence capture","Keep death/permadeath and other proven recovery outcomes separate"
"P1.AUTHORITY.007","Authority","Death, permadeath option and save consequences","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen INSPECTION/COPS/JAIL/Systems FSM metadata","Death, permadeath option and save consequences","Vehicle; Economy; Story graph; Save","Nothing","EvidenceCaptured","World/static evidence only; actors/UI/audio missing","None","None","None","None","Exact thresholds, durations and consequences require donor comparison","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.AUTHORITY.008","Authority","Illegal actions and authority response","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen INSPECTION/COPS/JAIL/Systems FSM metadata","Illegal actions and authority response","Vehicle; Economy; Story graph; Save","Nothing","EvidenceCaptured","World/static evidence only; actors/UI/audio missing","None","None","None","None","Exact thresholds, durations and consequences require donor comparison","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.RALLY.001","Rally","Registration and entry prerequisites","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen RALLY hierarchy/FSM metadata and world route evidence","Registration and entry prerequisites","Vehicle; NPC; World routes; GameTime; Save","World route/static objects only","EvidenceCaptured","Frozen event assets external/static; no runtime event","None","None","None","World traversal only","No rally gameplay implementation","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.RALLY.002","Rally","Vehicle eligibility and inspection interaction","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen RALLY hierarchy/FSM metadata and world route evidence","Vehicle eligibility and inspection interaction","Vehicle; NPC; World routes; GameTime; Save","World route/static objects only","EvidenceCaptured","Frozen event assets external/static; no runtime event","None","None","None","World traversal only","No rally gameplay implementation","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.RALLY.003","Rally","Route/stage geometry and checkpoints","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen RALLY hierarchy/FSM metadata and world route evidence","Route/stage geometry and checkpoints","Vehicle; NPC; World routes; GameTime; Save","World route/static objects only","EvidenceCaptured","Frozen event assets external/static; no runtime event","None","None","None","World traversal only","No rally gameplay implementation","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.RALLY.004","Rally","Timing, penalties and result calculation","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen RALLY hierarchy/FSM metadata and world route evidence","Timing, penalties and result calculation","Vehicle; NPC; World routes; GameTime; Save","World route/static objects only","EvidenceCaptured","Frozen event assets external/static; no runtime event","None","None","None","World traversal only","No rally gameplay implementation","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.RALLY.005","Rally","Competitor vehicles and officials","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen RALLY hierarchy/FSM metadata and world route evidence","Competitor vehicles and officials","Vehicle; NPC; World routes; GameTime; Save","World route/static objects only","EvidenceCaptured","Frozen event assets external/static; no runtime event","None","None","None","World traversal only","No rally gameplay implementation","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.RALLY.006","Rally","Spectators/helpers and event schedule","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen RALLY hierarchy/FSM metadata and world route evidence","Spectators/helpers and event schedule","Vehicle; NPC; World routes; GameTime; Save","World route/static objects only","EvidenceCaptured","Frozen event assets external/static; no runtime event","None","None","None","World traversal only","No rally gameplay implementation","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.RALLY.007","Rally","Rewards/consequences and persistence","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen RALLY hierarchy/FSM metadata and world route evidence","Rewards/consequences and persistence","Vehicle; NPC; World routes; GameTime; Save","World route/static objects only","EvidenceCaptured","Frozen event assets external/static; no runtime event","None","None","None","World traversal only","No rally gameplay implementation","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.RALLY.008","Rally","Rally audio/UI presentation","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen RALLY hierarchy/FSM metadata and world route evidence","Rally audio/UI presentation","Vehicle; NPC; World routes; GameTime; Save","World route/static objects only","EvidenceCaptured","Frozen event assets external/static; no runtime event","None","None","None","World traversal only","No rally gameplay implementation","13B","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.MEDIA.001","Media","Radio stations, tuning and schedule","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen MEDIA/THEATRE/SOCCER/DRAGRACE/GameObject/AudioClip evidence","Radio stations, tuning and schedule","World; Interaction; Audio/UI; Save","Physical props/world locations only; no Media module","EvidenceCaptured","Frozen audio/visual evidence external; no project presenters","None","None","No bound media events","None","Rights-safe private Legacy handling and exact schedule/content require evidence","13C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.MEDIA.002","Media","Television channels/program schedule","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen MEDIA/THEATRE/SOCCER/DRAGRACE/GameObject/AudioClip evidence","Television channels/program schedule","World; Interaction; Audio/UI; Save","Physical props/world locations only; no Media module","EvidenceCaptured","Frozen audio/visual evidence external; no project presenters","None","None","No bound media events","None","Rights-safe private Legacy handling and exact schedule/content require evidence","13C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.MEDIA.003","Media","Computer power/use flow","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen MEDIA/THEATRE/SOCCER/DRAGRACE/GameObject/AudioClip evidence","Computer power/use flow","World; Interaction; Audio/UI; Save","Physical props/world locations only; no Media module","EvidenceCaptured","Frozen audio/visual evidence external; no project presenters","None","None","No bound media events","None","Rights-safe private Legacy handling and exact schedule/content require evidence","13C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
